Manufacturer,Year,Model Name,Release Year,Category,CC,Standard Loft,Face Material,Adjustability,Weight System,Weight Range,Cost (MSRP),Stock Length,Swing Weight,Target Player Profile,Spin Profile,Bias,Offset,Left Handed
Cobra,2023,AeroJet LS,2023,Low Spin,170,"14.5, 17.5",PWRSHELL H.O.T. Face,+/- 1.5,Forward/Back Weights,Adjustable,$349,"43.0""",D3,0-8 HCP,Low,Neutral/Fade,None,✓
Callaway,2023,Paradym X,2023,High Launch Draw,185,"15, 18, 21",Forged Carbon / AI Face,+/- 2.0,Heel Bias,Fixed,$349,"43.25""",D1,12+ HCP,High,Draw Bias,Slight,✓
Callaway,2023,Paradym,2023,All-Around,175,"15, 16.5, 18, 21",Forged Carbon / AI Face,+/- 2.0,Jailbreak Batwing,Fixed,$349,"43.25""",D2,All Skill Levels,Mid,Neutral,None,✓
Titleist,2022,TSR3,2022,Precision,175,"15, 16.5, 18",Forged Carpenter Steel,+/- 1.5,SureFit CG Track,Adjustable,$349,"43.0""",D3,0-10 HCP,Low,Adjustable,None,✓
TaylorMade,2022,Stealth,2022,Distance,185,"15, 18, 21",C300 Steel,Fixed,V Steel Sole,Fixed,$329,"43.25""",D2,5-20 HCP,Mid,Neutral,None,✓
PING,2022,G425 Max,2022,All-Around,176,"14.5, 17.5, 20.5",Maraging Steel,+/- 1.5,Back Weight,Fixed,$299,"43.0""",D2,All Skill Levels,Mid,Neutral,None,✓
PING,2022,G425 LST,2022,Low Spin,167,14.5,Maraging Steel,+/- 1.5,Compact CG,Fixed,$399,"43.0""",D3,0-8 HCP,Low,Fade Bias,None,✓
Cobra,2022,LTDx Max,2022,Maximum Forgiveness,180,"15, 18, 21",H.O.T. Face,+/- 1.5,Rear Weight,Fixed,$299,"43.25""",D2,12+ HCP,Mid-High,Draw Bias,Slight,✓
Cobra,2022,LTDx LS,2022,Low Spin,170,"14.5, 17.5",H.O.T. Face,+/- 1.5,Front/Back Weights,Adjustable,$299,"43.0""",D3,0-8 HCP,Low,Neutral/Fade,None,✓
Cobra,2022,Air-X,2022,Lightweight Draw,185,"16, 19, 22",H.O.T. Face,Fixed,Lightweight Build,Fixed,$249,"43.25""",D0,15+ HCP (Slow Swing),High,Draw Bias,Moderate,✓
Callaway,2022,Rogue ST Max,2022,Forgiveness,180,"15, 18, 21",A.I. Face Cup,+/- 2.0,Tungsten Speed Cartridge,Fixed,$329,"43.25""",D2,All Skill Levels,Mid-High,Neutral,Slight,✓
Titleist,2021,TSi2,2021,Forgiveness,175,"13.5, 15, 16.5, 18, 21",ATI 425 Face,+/- 1.5,Rear Weight,Interchangeable,$299,"43.0""",D3,All Skill Levels,Mid,Neutral,None,✓
TaylorMade,2021,SIM2 Max,2021,Forgiveness,190,"15, 18, 21",C300 Steel,Fixed,V Steel + Thru-Slot,Fixed,$299,"43.25""",D2,10+ HCP,Mid-High,Slight Draw,Slight,✓
PING,2021,G425 SFT,2021,Draw Bias,180,"16, 19, 22",Maraging Steel,+/- 1.5,Heel Bias,Fixed,$299,"43.0""",D1,15+ HCP,Mid-High,Draw Bias,Slight,✓
PING,2021,G425 Max,2021,All-Around,176,"14.5, 17.5, 20.5",Maraging Steel,+/- 1.5,Back Weight,Fixed,$299,"43.0""",D2,All Skill Levels,Mid,Neutral,None,✓
Cobra,2021,RADSpeed XB,2021,Forgiveness,180,"15, 18, 21",CNC Infinity Face,Fixed,Rear Weight,Fixed,$249,"43.25""",D2,10+ HCP,Mid-High,Neutral,Slight,✓
Cobra,2021,RADSpeed,2021,All-Around,174,"14.5, 17.5",CNC Infinity Face,+/- 1.5,Front/Back Weight,Adjustable,$279,"43.25""",D2,All Skill Levels,Mid,Neutral,None,✓
Callaway,2021,Epic Speed,2021,Distance,173,"15, 18",Flash Face SS21,+/- 2.0,Jailbreak AI Velocity,Fixed,$299,"43.25""",D2,5-15 HCP,Mid-Low,Neutral,None,✓
Titleist,2020,TSi3,2020,Tour Performance,175,"13.5, 15, 16.5",ATI 425 Face,+/- 1.5,SureFit CG Track,Adjustable,$299,"43.0""",D3,0-8 HCP,Low,Adjustable,None,✓
TaylorMade,2020,SIM Max,2020,Forgiveness,190,"15, 19, 22",C300 Steel,Fixed,V Steel Sole,Fixed,$299,"43.25""",D2,10+ HCP,Mid-High,Slight Draw,Slight,✓
PING,2020,G410 SFT,2020,Draw Bias,180,"16, 19, 22",Maraging Steel,+/- 1.0,Heel Bias,Fixed,$299,"43.0""",D1,15+ HCP,Mid-High,Draw Bias,Slight,✓
PING,2020,G410 Plus,2020,All-Around,176,"14.5, 17.5, 20.5",Maraging Steel,+/- 1.0,Fixed Back Weight,Fixed,$299,"43.0""",D2,All Skill Levels,Mid,Neutral,None,✓
Cobra,2020,SpeedZone Tour,2020,Low Spin,170,"14.5, 17.5",CNC Milled Face,+/- 1.5,Forward/Back Weight,Adjustable,$279,"43.0""",D3,0-8 HCP,Low,Neutral/Fade,None,✓
Cobra,2020,SpeedZone,2020,All-Around,174,"14.5, 17.5",CNC Milled Face,+/- 1.5,Front/Back Weight,Adjustable,$249,"43.25""",D2,All Skill Levels,Mid,Neutral,None,✓
Callaway,2020,Mavrik,2020,Distance,174,"15, 18",Flash Face SS20,+/- 2.0,Fixed Sole Weight,Fixed,$299,"43.25""",D2,5-15 HCP,Mid,Neutral,None,✓
