Manufacturer,Release Year,Model Name,Category,CC,Standard Loft,Face Material,Adjustability,Weight System,Weight Range,Cost (MSRP),Stock Length,Swing Weight,Target Player Profile,Spin Profile,Bias,Offset,Left Handed
PING,2023,G430 Max,Max Forgiveness,460,"9, 10.5, 12",Forged T9S+ Ti,+/- 1.5,Adjustable CG Track,25g,$549,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
PING,2023,G430 LST,Low Spin,440,"9, 10.5",Forged Face / Spinsistency,+/- 1.5,Back Weight,Adjustable,$579,"45.75""",D4,0-8 HCP,Low,Fade Bias,None,✓
Cobra,2023,Aerojet,Speed,460,"9, 10.5, 12",PWRSHELL H.O.T. Face,+/- 1.5,Fixed Back/Forward,12g,$549,"45.5""",D3,All Skill Levels,Mid-Low,Neutral,None,✓
Cobra,2023,AeroJet Max,Draw Bias Forgiveness,460,"10.5, 12",PWRSHELL H.O.T. Face,+/- 1.5,Heel/Back Weight,Fixed,$549,"45.5""",D2,15+ HCP,Mid-High,Draw Bias,Slight,✓
Cobra,2023,AeroJet LS,Low Spin,457,"8, 9, 10.5",PWRSHELL H.O.T. Face,+/- 1.5,Front/Back Weights,Adjustable,$549,"45.5""",D4,0-8 HCP,Low,Neutral/Fade,None,✓
Cobra,2023,AeroJet,Speed,460,"9, 10.5, 12",PWRSHELL H.O.T. Face,+/- 1.5,PWR-BRIDGE,Fixed,$549,"45.5""",D3,All Skill Levels,Mid,Neutral,None,✓
Callaway,2023,Paradym X,,,,,,,,,,,,,,,
Callaway,2023,Paradym Triple Diamond,,,,,,,,,,,,,,,
Callaway,2023,Paradym,,,,,,,,,,,,,,,
Callaway,2023,Paradym,All-Around,460,"9, 10.5, 12",Forged Titanium,+/- 2.0,Adjustable Perimeter Track,15g,$599,"45.75""",D3,All Skill Levels,Low-Mid,Neutral,None,✓
Titleist,2022,TSR4,,,,,,,,,,,,,,,
Titleist,2022,TSR3,,,,,,,,,,,,,,,
Titleist,2022,TSR2,,,,,,,,,,,,,,,
Titleist,2022,TSR2,Max Performance,460,"8, 9, 10.5, 11",ATI 425 Aerospace Ti,+/- 1.5,SureFit CG,Adjustable,$599,"45.5""",D3,All Skill Levels,Low-Mid,Neutral,None,✓
TaylorMade,2022,Stealth Plus,,,,,,,,,,,,,,,
TaylorMade,2022,Stealth HD,,,,,,,,,,,,,,,
TaylorMade,2022,Stealth,,,,,,,,,,,,,,,
TaylorMade,2022,Stealth,All-Around,460,"9, 10.5, 12",60X Carbon Twist Face,+/- 2.0,Fixed Back Weight,Fixed,$579,"45.75""",D4,All Skill Levels,Mid-Low,Neutral,None,✓
PING,2022,G425 SFT,Draw Bias,460,"10.5, 12",T9S+ Forged Face,+/- 1.5,Draw-Biased Weight,Fixed,$529,"45.75""",D2,15+ HCP,Mid-High,Draw Bias,Slight,✓
PING,2022,G425 Max,Forgiveness,460,"9, 10.5, 12",T9S+ Forged Face,+/- 1.5,26g Back Weight,Adjustable,$529,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
Cobra,2022,LTDx Max,Maximum Forgiveness,460,"9, 10.5, 12",H.O.T. Face Insert,+/- 1.5,Back Weight,Fixed,$499,"45.5""",D2,12+ HCP,Mid-High,Draw Bias,Slight,✓
Cobra,2022,LTDx LS,Low Spin,460,"9, 10.5",H.O.T. Face Insert,+/- 1.5,Forward/Back Weights,Adjustable,$499,"45.5""",D4,0-8 HCP,Low,Neutral/Fade,None,✓
Cobra,2022,LTDx,Extreme Distance,460,"9, 10.5, 12",H.O.T. Face,+/- 1.5,PWR-COR Technology,Fixed,$499,"45.5""",D2,All Skill Levels,Mid-Low,Neutral,None,✓
Callaway,2022,Rogue ST Max LS,,,,,,,,,,,,,,,
Callaway,2022,Rogue ST Max D,,,,,,,,,,,,,,,
Callaway,2022,Rogue ST Max,,,,,,,,,,,,,,,
Callaway,2022,Rogue ST Max,All-Around,460,"9, 10.5, 12",Flash Face SS22,+/- 2.0,Tungsten Speed Cartridge,26g,$549,"45.75""",D3+,All Skill Levels,Mid,Slight Draw,None,✓
Titleist,2021,TSi4,,,,,,,,,,,,,,,
Titleist,2021,TSi3,Tour Performance,460,"8, 9, 10",ATI 425 Aerospace Titanium,+/- 1.5,SureFit CG Track,Adjustable,$549,"45.5""",D4,0-8 HCP,Low,Adjustable,None,✓
Titleist,2021,TSi1,,,,,,,,,,,,,,,
TaylorMade,2021,SIM2,Tour Performance,460,"8, 9, 10.5",Forged Ring Construction,+/- 2.0,Rear Weight,16g,$529,"45.75""",D4,0-10 HCP,Low,Neutral,None,✓
PING,2021,G425 SFT,,,,,,,,,,,,,,,
PING,2021,G425 Max,,,,,,,,,,,,,,,
PING,2021,G425 Max,Max Forgiveness,460,"9, 10.5, 12",Forged T9S+ Ti,+/- 1.5,Adjustable CG Track,26g,$549,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
PING,2021,G425 LST,,,,,,,,,,,,,,,
Cobra,2021,RADSpeed XD,Draw Bias,460,"9, 10.5, 12",CNC Infinity Face,+/- 1.5,Heel/Rear Weight,Fixed,$449,"45.5""",D2,15+ HCP,Mid-High,Draw Bias,Moderate,✓
Cobra,2021,RADSpeed XB,Forgiveness,460,"9, 10.5, 12",CNC Infinity Face,+/- 1.5,Rear Weight,Fixed,$449,"45.5""",D3,10+ HCP,Mid,Neutral,Slight,✓
Cobra,2021,RADSpeed,Speed,460,"9, 10.5, 12",CNC Infinity Face,+/- 1.5,Radial Weighting,Fixed,$449,"45.5""",D3,5-15 HCP,Mid-Low,Neutral,None,✓
Cobra,2021,RADSPEED,Low Spin,460,"9, 10.5",CNC Milled Infinity Face,+/- 1.5,Radial Weighting,28g/8g,$449,"45.5""",D3,0-10 HCP,Low,Neutral,None,✓
Callaway,2021,Epic Speed,Aero Speed,460,"9, 10.5, 12",Flash Face SS21,+/- 2.0,Jailbreak Speed Frame,Fixed,$529,"45.75""",D3,All Skill Levels,Mid-Low,Neutral,None,✓
Callaway,2021,Epic Max,Forgiveness,460,"9, 10.5, 12",Jailbreak AI Speed Frame,+/- 2.0,Sliding Rear Weight,Adjustable,$529,"45.75""",D3,10+ HCP,Mid-High,Adjustable,Slight,✓
Titleist,2020,TSi3,,,,,,,,,,,,,,,
Titleist,2020,TSi2,,,,,,,,,,,,,,,
Titleist,2020,TSi2,Distance/Forgiveness,460,"9, 10.5, 11",ATI 425 Aerospace Ti,+/- 1.5,Fixed Back Weight,Adjustable,$549,"45.5""",D3,All Skill Levels,Mid,Neutral,None,✓
TaylorMade,2020,SIM,Tour Performance,460,"8, 9, 10.5",Injected Twist Face,+/- 2.0,Sliding Weight Track,10g,$549,"45.75""",D4,0-10 HCP,Low,Adjustable,None,✓
PING,2020,G410 Plus,All-Around Forgiveness,460,"9, 10.5, 12",T9S+ Forged Face,+/- 1.5,Moveable Back Weight,Adjustable,$499,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
PING,2020,G410 LST,Low Spin,450,"9, 10.5",T9S+ Forged Face,+/- 1.5,Back Weight,Adjustable,$499,"45.75""",D4,0-8 HCP,Low,Fade Bias,None,✓
Cobra,2020,Speedzone,Extreme Speed,460,"9, 10.5",CNC Milled Infinity Face,+/- 1.5,Front/Back CG,Adjustable,$449,"45.5""",D3,All Skill Levels,Low-Mid,Neutral,None,✓
Cobra,2020,SpeedZone Xtreme,Maximum Forgiveness,460,"9, 10.5, 12",CNC Milled Face,+/- 1.5,Back Weight,Fixed,$449,"45.5""",D2,12+ HCP,Mid-High,Neutral,Slight,✓
Cobra,2020,SpeedZone,Distance,460,"9, 10.5, 12",CNC Milled Face,+/- 1.5,Front/Back Weights,Adjustable,$449,"45.5""",D3,5-15 HCP,Mid-Low,Neutral,None,✓
Callaway,2020,Mavrik,Speed/Distance,460,"9, 10.5, 12",Flash Face SS20,+/- 2.0,Fixed Rear Weight,Fixed,$499,"45.75""",D3,All Skill Levels,Mid,Neutral,None,✓
Titleist,2024/2026,GT4,Maximum Spin Reduction,430,"8, 9, 10",Proprietary Matrix Polymer,+/- 1.5,Dual (Front/Back),11g & 3g,$649,"45.5""",D4,0-5 HCP (High Speed),Lowest,Neutral,None,✓
Titleist,2024/2026,GT3,Precision and Control,460,"8, 9, 10.5, 11.5",Proprietary Matrix Polymer,+/- 1.5,Front Sliding Track,Adjustable,$649,"45.5""",D3,0-10 HCP,Low,Adjustable,None,✓
Titleist,2024/2026,GT2,Maximum Forgiveness,460,"8, 9, 10.5, 11.5",Proprietary Matrix Polymer,+/- 1.5,Rear Weight (High MOI),Interchangeable,$649,"45.5""",D3,All Skill Levels,Mid,Neutral,None,✓
