Manufacturer,Year,Model,Category,Head Material (Body/Face),Loft Array (4-PW),7i Loft / Lie,Topline / Blade (7i),Finish Options,Price (7pc),Stock Length,Swing Weight,Target Player Profile,Spin Profile,Bias,Offset,Left Handed
Mizuno,2022,JPX 923 Forged,Players Distance,1025 Boron Forged,21/24/27/31/35/39/44,31.0° / 62.0°,6.5mm / 78mm,Pearl Brush,"$1,300","37.0"" (7i)",D2,5-12 HCP,Mid,Neutral,Slight (2.5mm),✓
Cobra,2022,KING LTDx,Game Improv.,Hollow Body / PWRSHELL,19/21.5/24/27.5/32/37/42,27.5° / 62.0°,8.2mm / 82mm,Chrome,$999,"37.0"" (7i)",D1,10+ HCP,Low,Draw Bias,Moderate (4.0mm),✓
Cobra,2022,KING Forged Tec,Players Distance,Forged 1025 / Pwrshell,21/23.5/26.5/30/34.5/39.5/44.5,30.0° / 62.5°,7.0mm / 79mm,Chrome,"$1,199","37.0"" (7i)",D2,5-12 HCP,Low-Mid,Neutral,Slight (2.5mm),✓
Callaway,2022,Rogue ST Pro,Players Distance,Hollow Body / Urethane Microspheres,20/23/26/30/34.5/39/44,30.0° / 62.0°,7.0mm / 79mm,Satin,"$1,200","37.0"" (7i)",D2,5-15 HCP,Mid,Neutral,Slight (2.5mm),✓
Titleist,2021,T200,Players Distance,Forged L-Face / Max Impact,20/23/26/29/33/38/43,29.0° / 63.0°,7.4mm / 81mm,Satin Chrome,"$1,299","37.0"" (7i)",D2,5-15 HCP,Low-Mid,Neutral,Progressive (3.0mm),✓
TaylorMade,2021,P·7MC,Tour Cavity,Forged 1025 Carbon Steel,23/26/30/34/38/42/46,34.0° / 62.5°,5.3mm / 75mm,Satin Chrome,"$1,399","37.0"" (7i)",D3,0-5 HCP,High,Neutral,Minimal (1.8mm),✓
PING,2021,i59,Tour Player,Forged 1025 / AlumiCore,23/26/30/34/38/42/46,34.0° / 62.0°,5.0mm / 74mm,Satin Chrome,"$1,750","37.0"" (7i)",D2,0-5 HCP,High,Neutral,Minimal (1.8mm),✓
PING,2021,G425,Game Improv.,17-4 Stainless / VFT,20/22.5/26/29.5/34/39/44,29.5° / 62.0°,8.2mm / 82mm,Hydropearl 2.0,$900,"37.0"" (7i)",D1,10+ HCP,Low-Mid,Draw Bias,Moderate (4.0mm),✓
Mizuno,2021,Mizuno Pro 225,Players Distance,Chromoly Forged Hollow,22/25/28/31/35/40/45,31.0° / 61.5°,6.6mm / 78mm,Satin,"$1,400","37.0"" (7i)",D2,5-15 HCP,Mid,Neutral,Slight (2.4mm),✓
Mizuno,2021,Mizuno Pro 223,Players Cavity,1025E Forged / Chromoly,22/25/28/32/36/40/44,32.0° / 61.5°,5.8mm / 76mm,Satin,"$1,400","37.0"" (7i)",D2,0-8 HCP,Mid-High,Neutral,Minimal (1.8mm),✓
Mizuno,2021,Mizuno Pro 221,Tour Blade,1025E Grain Flow Forged,24/27/30/34/38/42/46,34.0° / 61.5°,4.7mm / 72mm,Satin,"$1,400","37.0"" (7i)",D3,0-3 HCP,High,Neutral,Minimal (1.2mm),✓
Cobra,2021,KING Tour MIM,Tour Player,Metal Injection Molded 1025,24/27/30/34/38/42/46,34.0° / 62.5°,5.0mm / 75mm,Satin,"$1,299","37.0"" (7i)",D3,0-5 HCP,High,Neutral,Minimal (1.6mm),✓
Callaway,2021,Apex 21,Players Distance,Forged 1025 / A.I. Face Cup,21/23.5/26.5/30.5/35/40/45,30.5° / 62.0°,7.0mm / 79mm,Chrome,"$1,199","37.0"" (7i)",D2,5-15 HCP,Mid,Neutral,Slight (2.7mm),✓
Titleist,2020,T300,Game Improv.,High-Strength Steel / Max Impact,20/23/26/29/33/38/43,29.0° / 63.0°,8.2mm / 82mm,Chrome,$999,"37.0"" (7i)",D1,12+ HCP,Low,Draw Bias,Moderate (4.0mm),✓
TaylorMade,2020,P·770,Players Distance,Forged Hollow / Inverted Cone,22.5/25.5/29/33/37/41/46,33.0° / 62.5°,6.3mm / 77mm,Satin,"$1,299","37.0"" (7i)",D2,5-12 HCP,Mid,Neutral,Slight (2.2mm),✓
PING,2020,i500,Players Distance,17-4 SS / Maraging Face,19/22/25/28.5/32/36/41,28.5° / 62.0°,7.2mm / 79mm,Chrome,"$1,100","37.0"" (7i)",D1,5-15 HCP,Low-Mid,Neutral,Slight (2.8mm),✓
PING,2020,G710,Game Improv.,17-4 SS / Maraging Face,18/21/24/27.5/31/35.5/41,27.5° / 62.0°,8.8mm / 83mm,Hydropearl Stealth,"$1,250","37.0"" (7i)",D1,12+ HCP,Low,Draw Bias,Moderate (4.5mm),✓
Mizuno,2020,JPX 921 Hot Metal,Game Improv.,Chromoly 4140M,19/22/25/28.5/33/37.5/42.5,28.5° / 62.0°,8.0mm / 81mm,Chrome,$875,"37.0"" (7i)",D1,12+ HCP,Low,Draw,Progressive (4.5mm),✓
Mizuno,2020,JPX 921 Forged,Players Distance,1025 Boron Forged,22/25/28/32/36/41/46,32.0° / 62.0°,6.5mm / 78mm,Pearl Brush,"$1,200","37.0"" (7i)",D2,5-12 HCP,Mid,Neutral,Slight (2.4mm),✓
Cobra,2020,KING Forged Tec,Players Distance,Forged 1025 / Pwrshell,21/24/27/31/35/40/45,31.0° / 62.5°,6.8mm / 78mm,Chrome,"$1,099","37.0"" (7i)",D2,5-15 HCP,Mid,Neutral,Slight (2.6mm),✓
Callaway,2020,Mavrik,Game Improv.,Flash Face Cup / Urethane,18/21/24/27/30.5/35/41.5,27.0° / 62.0°,8.5mm / 82mm,Chrome,$799,"37.0"" (7i)",D1,12+ HCP,Low,Draw Bias,Moderate (4.2mm),✓
